Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.0,-100.0,180.0,bottom
C1,115.456,-74.346,180.0,top
C10,176.162,-83.973,0.0,top
C11,139.84,-84.252,0.0,top
C12,147.46,-85.268,180.0,top
C13,123.838,-89.4975,0.0,top
C14,137.3,-90.7925,270.0,top
C15,140.475,-90.7925,270.0,top
C16,186.83,-92.0625,0.0,top
C17,143.523,-93.015,270.0,top
C18,145.047,-93.015,270.0,top
C19,190.64,-93.777,90.0,top
C2,180.734,-75.362,0.0,top
C20,114.948,-93.904,270.0,top
C21,116.472,-93.904,270.0,top
C22,112.408,-95.174,0.0,top
C23,119.012,-95.174,180.0,top
C24,157.62,-95.8725,90.0,top
C25,137.3,-96.698,270.0,top
C26,187.719,-98.73,0.0,top
C27,111.9,-100.0,90.0,top
C28,119.266,-100.0,90.0,top
C29,121.425,-100.0,270.0,top
C3,130.315,-77.14,90.0,top
C30,126.886,-100.0,270.0,top
C31,137.3,-100.254,90.0,top
C32,139.84,-100.762,0.0,top
C33,112.408,-104.826,0.0,top
C34,119.012,-104.826,180.0,top
C35,141.11,-105.588,90.0,top
C36,133.744,-105.842,90.0,top
C37,139.332,-105.842,90.0,top
C38,114.948,-106.096,90.0,top
C39,116.472,-106.096,90.0,top
C4,180.734,-81.458,0.0,top
C40,183.274,-106.096,0.0,top
C41,145.936,-107.62,0.0,top
C42,154.572,-107.62,0.0,top
C43,154.445,-109.144,180.0,top
C44,154.60375,-110.922,180.0,top
C45,183.274,-111.176,0.0,top
C5,136.03,-83.1725,180.0,top
C6,147.46,-83.49,180.0,top
C7,123.838,-83.973,0.0,top
C8,127.902,-83.973,0.0,top
C9,172.098,-83.973,0.0,top
D1,184.97,-69.901,0.0,top
D10,174.13,-100.0,180.0,top
D2,184.036,-75.616,270.0,top
D3,121.425,-76.1875,90.0,top
D4,169.685,-76.1875,90.0,top
D5,134.76,-77.14,0.0,top
D6,184.29,-86.03,270.0,top
D7,181.16,-88.951,0.0,top
D8,184.925,-88.951,180.0,top
D9,109.106,-100.0,90.0,top
FB1,124.9175,-86.7666,270.0,top
FB2,181.115,-93.65,0.0,top
FB3,186.83,-93.65,0.0,top
FID1,104.28,-74.6,0.0,top
FID2,195.72,-74.6,0.0,top
FID3,109.36,-130.48,0.0,top
J1,149.98,-63.85,270.0,top
J2,194.09,-80.95,90.0,top
J3,99.925,-100.02,0.0,top
J4,196.99,-96.19,90.0,top
J5,197.188,-110.16,90.0,top
J6,150.02,-136.15,90.0,top
